id,name,description,max_attempts,value,category,type,state,requirements
16,Easter Egg,"Find the hidden <a href=""http://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>. (Difficulty Level: 4)",0,700,Broken Access Control,standard,visible,
17,Email Leak,Perform an unwanted information disclosure by accessing data cross-domain. (Difficulty Level: 5),0,1000,Sensitive Data Exposure,standard,visible,
18,Ephemeral Accountant,Log in with the (non-existing) accountant <i>acc0unt4nt@juice-sh.op</i> without ever registering that user. (Difficulty Level: 4),0,700,Injection,standard,visible,
19,Error Handling,Provoke an error that is neither very gracefully nor consistently handled. (Difficulty Level: 1),0,100,Security Misconfiguration,standard,visible,
20,Expired Coupon,Successfully redeem an expired campaign coupon code. (Difficulty Level: 4),0,700,Improper Input Validation,standard,visible,
21,Five-Star Feedback,Get rid of all 5-star customer feedback. (Difficulty Level: 2),0,250,Broken Access Control,standard,visible,
22,Forged Coupon,Forge a coupon code that gives you a discount of at least 80%. (Difficulty Level: 6),0,1350,Cryptographic Issues,standard,visible,
23,Forged Feedback,Post some feedback in another users name. (Difficulty Level: 3),0,450,Broken Access Control,standard,visible,
24,Forged Review,Post a product review as another user or edit any user's existing review. (Difficulty Level: 3),0,450,Broken Access Control,standard,visible,
25,Forged Signed JWT,Forge an almost properly RSA-signed JWT token that impersonates the (non-existing) user <i>rsa_lord@juice-sh.op</i>. (Difficulty Level: 6),0,1350,Vulnerable Components,standard,visible,
26,Forgotten Developer Backup,Access a developer's forgotten backup file. (Difficulty Level: 4),0,700,Sensitive Data Exposure,standard,visible,
27,Forgotten Sales Backup,Access a salesman's forgotten backup file. (Difficulty Level: 4),0,700,Sensitive Data Exposure,standard,visible,
28,GDPR Data Erasure,Log in with Chris' erased user account. (Difficulty Level: 3),0,450,Broken Authentication,standard,visible,
29,GDPR Data Theft,Steal someone else's personal data without using Injection. (Difficulty Level: 4),0,700,Sensitive Data Exposure,standard,visible,
30,HTTP-Header XSS,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> through an HTTP header. (Difficulty Level: 4)",0,700,XSS,standard,visible,
31,Leaked Access Logs,Dumpster dive the Internet for a leaked password and log in to the original user account it belongs to. (Creating a new account with the same password does not qualify as a solution.) (Difficulty Level: 5),0,1000,Sensitive Data Exposure,standard,visible,
32,Leaked Unsafe Product,"Identify an unsafe product that was removed from the shop and <a href=""/#/contact"">inform the shop</a> which ingredients are dangerous. (Difficulty Level: 4)",0,700,Sensitive Data Exposure,standard,visible,
33,Login Admin,Log in with the administrator's user account. (Difficulty Level: 2),0,250,Injection,standard,visible,
34,Login Amy,"Log in with Amy's original user credentials. (This could take 93.83 billion trillion trillion centuries to brute force, but luckily she did not read the ""One Important Final Note"") (Difficulty Level: 3)",0,450,Sensitive Data Exposure,standard,visible,
35,Login Bender,Log in with Bender's user account. (Difficulty Level: 3),0,450,Injection,standard,visible,
36,Login CISO,Exploit OAuth 2.0 to log in with the Chief Information Security Officer's user account. (Difficulty Level: 5),0,1000,Broken Authentication,standard,visible,
37,Login Jim,Log in with Jim's user account. (Difficulty Level: 3),0,450,Injection,standard,visible,
38,Manipulate Basket,Put an additional product into another user's shopping basket. (Difficulty Level: 3),0,450,Broken Access Control,standard,visible,
39,NoSQL Manipulation,Update multiple product reviews at the same time. (Difficulty Level: 4),0,700,Injection,standard,visible,
40,Outdated Whitelist,Let us redirect you to one of our crypto currency addresses which are not promoted any longer. (Difficulty Level: 1),0,100,Unvalidated Redirects,standard,visible,
41,Password Strength,Log in with the administrator's user credentials without previously changing them or applying SQL Injection. (Difficulty Level: 2),0,250,Broken Authentication,standard,visible,
42,Payback Time,Place an order that makes you rich. (Difficulty Level: 3),0,450,Improper Input Validation,standard,visible,
43,Privacy Policy,Read our privacy policy. (Difficulty Level: 1),0,100,Miscellaneous,standard,visible,
44,Privacy Policy Inspection,Prove that you actually read our privacy policy. (Difficulty Level: 3),0,450,Security through Obscurity,standard,visible,
45,Product Tampering,"Change the <code>href</code> of the link within the <a href=""/#/search?q=OWASP SSL Advanced Forensic Tool (O-Saft)"">OWASP SSL Advanced Forensic Tool (O-Saft)</a> product description into <i>https://owasp.slack.com</i>. (Difficulty Level: 3)",0,450,Broken Access Control,standard,visible,
46,Repetitive Registration,Follow the DRY principle while registering a user. (Difficulty Level: 1),0,100,Improper Input Validation,standard,visible,
47,SSRF,Request a hidden resource on server through server. (Difficulty Level: 6),0,1350,Broken Access Control,standard,visible,
48,Score Board,Find the carefully hidden 'Score Board' page. (Difficulty Level: 1),0,100,Miscellaneous,standard,visible,
49,Security Policy,"Behave like any ""white-hat"" should before getting into the action. (Difficulty Level: 2)",0,250,Miscellaneous,standard,visible,
50,Server-side XSS Protection,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>server-side</i> security mechanism. (Difficulty Level: 4)",0,700,XSS,standard,visible,
51,Supply Chain Attack,"<a href=""/#/contact"">Inform the development team</a> about a danger to some of <em>their</em> credentials. (Send them the URL of the <em>original report</em> or the CVE of this vulnerability) (Difficulty Level: 5)",0,1000,Vulnerable Components,standard,visible,
52,Two Factor Authentication,"Solve the 2FA challenge for user ""wurstbrot"". (Disabling, bypassing or overwriting his 2FA settings does not count as a solution) (Difficulty Level: 5)",0,1000,Broken Authentication,standard,visible,
53,Unsigned JWT,Forge an essentially unsigned JWT token that impersonates the (non-existing) user <i>jwtn3d@juice-sh.op</i>. (Difficulty Level: 5),0,1000,Vulnerable Components,standard,visible,
54,Upload Size,Upload a file larger than 100 kB. (Difficulty Level: 3),0,450,Improper Input Validation,standard,visible,
55,Upload Type,Upload a file that has no .pdf or .zip extension. (Difficulty Level: 3),0,450,Improper Input Validation,standard,visible,
56,User Credentials,Retrieve a list of all user credentials via SQL Injection. (Difficulty Level: 4),0,700,Injection,standard,visible,
57,Video XSS,Embed an XSS payload <code>&lt;/script&gt;&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> into our promo video. (Difficulty Level: 6),0,1350,XSS,standard,visible,
58,View Basket,View another user's shopping basket. (Difficulty Level: 2),0,250,Broken Access Control,standard,visible,
59,Vulnerable Library,"<a href=""/#/contact"">Inform the shop</a> about a vulnerable library it is using. (Mention the exact library name and version in your comment) (Difficulty Level: 4)",0,700,Vulnerable Components,standard,visible,
60,Weird Crypto,"<a href=""/#/contact"">Inform the shop</a> about an algorithm or library it should definitely not use the way it does. (Difficulty Level: 2)",0,250,Cryptographic Issues,standard,visible,
61,Whitelist Bypass,Enforce a redirect to a page you are not supposed to redirect to. (Difficulty Level: 4),0,700,Unvalidated Redirects,standard,visible,
62,Zero Stars,Give a devastating zero-star feedback to the store. (Difficulty Level: 1),0,100,Improper Input Validation,standard,visible,
63,Missing Encoding,"Retrieve the photo of Bjoern's cat in ""melee combat-mode"". (Difficulty Level: 1)",0,100,Improper Input Validation,standard,visible,
64,Cross-Site Imaging,"Stick <a href=""http://placekitten.com/"" target=""_blank"">cute cross-domain kittens</a> all over our delivery boxes. (Difficulty Level: 5)",0,1000,Security Misconfiguration,standard,visible,
